state_name,number_of_fatalities,0
California,1,2912
Texas,1,2906
Florida,1,2516
Georgia,1,1243
North Carolina,1,1189
Pennsylvania,1,1021
New York,1,1002
Ohio,1,958
South Carolina,1,861
Illinois,1,840
Michigan,1,833
Tennessee,1,830
Arizona,1,745
Missouri,1,744
Alabama,1,733
Indiana,1,699
Virginia,1,674
Louisiana,1,656
Kentucky,1,647
Oklahoma,1,544
Mississippi,1,543
New Jersey,1,485
Wisconsin,1,484
Colorado,1,473
Washington,1,463
Arkansas,1,447
Maryland,1,446
Oregon,1,380
Minnesota,1,341
Massachusetts,1,311
Kansas,1,293
Nevada,1,273
Iowa,1,251
Connecticut,1,244
New Mexico,1,244
Utah,1,240
West Virginia,1,227
Texas,2,213
Nebraska,1,195
Montana,1,189
Idaho,1,182
California,2,174
Florida,2,148
Maine,1,135
Delaware,1,123
Wyoming,1,115
South Dakota,1,104
North Dakota,1,96
New Hampshire,1,94
Hawaii,1,79
Georgia,2,74
North Carolina,2,72
Illinois,2,67
Pennsylvania,2,65
Ohio,2,63
Michigan,2,56
Alaska,1,56
Missouri,2,53
Mississippi,2,51
Arizona,2,51
Texas,3,49
Tennessee,2,48
New York,2,48
Indiana,2,45
Vermont,1,44
South Carolina,2,40
Alabama,2,40
Oklahoma,2,38
Rhode Island,1,37
Kentucky,2,35
Wisconsin,2,35
Arkansas,2,34
Louisiana,2,34
Virginia,2,34
Minnesota,2,33
New Jersey,2,32
Colorado,2,29
Maryland,2,28
Iowa,2,27
Oregon,2,27
Washington,2,26
Kansas,2,25
California,3,24
New Mexico,2,23
Florida,3,23
District of Columbia,1,23
Nevada,2,20
Nebraska,2,20
Utah,2,16
West Virginia,2,16
Pennsylvania,3,15
Massachusetts,2,15
Texas,4,15
Idaho,2,14
Connecticut,2,13
Arizona,3,12
Wyoming,2,12
California,4,10
North Dakota,2,10
Montana,2,10
North Carolina,3,10
Georgia,3,9
Mississippi,3,8
New York,3,8
Alabama,3,8
Tennessee,3,8
South Dakota,2,7
New Hampshire,2,7
Arkansas,3,7
Oklahoma,3,7
Maine,2,7
Florida,4,6
Ohio,3,6
Kentucky,3,6
Michigan,3,6
North Dakota,3,5
South Carolina,3,5
Louisiana,3,5
Vermont,2,5
Montana,3,5
Florida,5,5
Washington,3,5
Kentucky,4,5
Illinois,3,5
Indiana,3,5
North Carolina,4,4
Wisconsin,3,4
Colorado,3,4
Delaware,2,4
Washington,4,4
Hawaii,2,4
Virginia,3,4
Oregon,3,4
Kansas,3,4
Rhode Island,2,4
Missouri,3,4
South Dakota,3,4
New Jersey,3,4
Nevada,3,3
Texas,6,3
Texas,5,3
Maryland,3,3
California,5,3
West Virginia,3,3
Alaska,2,3
South Carolina,4,3
Utah,3,2
Tennessee,6,2
Mississippi,4,2
Wyoming,3,2
Nebraska,4,2
Indiana,4,2
Ohio,4,2
Louisiana,4,2
Idaho,3,2
Hawaii,3,2
Georgia,5,2
Iowa,3,2
Missouri,4,2
Alabama,4,2
Arizona,5,2
New York,4,2
New Hampshire,3,2
Arkansas,4,2
Arkansas,6,1
Illinois,4,1
Alabama,5,1
Vermont,3,1
Illinois,5,1
Arizona,4,1
Alaska,3,1
Georgia,4,1
Florida,8,1
Washington,5,1
Colorado,4,1
Indiana,5,1
Oklahoma,4,1
Iowa,4,1
South Dakota,4,1
Pennsylvania,4,1
New York,6,1
New Mexico,5,1
New Mexico,3,1
Nevada,4,1
South Carolina,5,1
South Carolina,6,1
Nebraska,3,1
Minnesota,4,1
Iowa,5,1
Michigan,4,1
Massachusetts,3,1
Maryland,5,1
Maryland,4,1
Maine,4,1
Maine,3,1
Louisiana,5,1
Texas,10,1
Kentucky,6,1
